iteration,buffer,loss,vs_random,vs_greedy,solver_first,solver_second,seconds
1,1049,1.9897,1.000,0.383,,,23.8
2,2167,1.8028,1.000,0.967,,,24.1
3,3114,1.7759,0.983,0.800,,,21.0
4,4124,1.7549,1.000,0.900,,,21.9
5,5198,1.7575,1.000,0.750,,,24.3
6,6367,1.7628,1.000,0.933,,,24.1
7,7424,1.7367,1.000,1.000,,,22.5
8,8520,1.7500,1.000,1.000,,,24.5
9,9449,1.7378,1.000,1.000,,,20.8
10,10521,1.7361,1.000,0.967,,,23.1
11,11521,1.7243,1.000,0.983,,,22.2
12,12502,1.7338,1.000,0.933,,,22.4
13,13539,1.7246,1.000,0.967,,,22.7
14,14565,1.7191,1.000,0.933,,,22.9
15,15558,1.7257,1.000,1.000,,,21.7
16,16573,1.7158,1.000,0.967,,,22.7
17,17620,1.7140,1.000,0.950,,,22.9
18,18598,1.7071,1.000,0.967,,,22.7
19,19633,1.7220,1.000,0.950,,,22.9
20,20655,1.7168,1.000,1.000,,,22.5
21,21705,1.7160,1.000,1.000,,,22.9
22,22741,1.7121,1.000,0.983,,,22.7
23,23788,1.7123,1.000,0.967,,,23.5
24,24777,1.7058,1.000,1.000,,,22.7
25,25865,1.6873,1.000,1.000,20,0,30.0
26,26873,1.6915,1.000,0.983,,,22.6
27,27973,1.6867,1.000,0.967,,,23.3
28,28965,1.6916,1.000,0.983,,,22.9
29,29960,1.6781,1.000,1.000,,,22.4
30,31043,1.6824,1.000,0.967,,,23.6
31,32075,1.6787,1.000,0.983,,,22.2
32,33055,1.6721,0.967,1.000,,,21.9
33,34086,1.6710,1.000,1.000,,,23.4
34,35088,1.6729,1.000,1.000,,,23.1
35,36092,1.6712,1.000,0.950,,,22.2
36,36947,1.6709,1.000,1.000,,,21.4
37,37945,1.6726,1.000,1.000,,,22.7
38,38910,1.6698,1.000,1.000,,,23.2
39,39967,1.6712,1.000,1.000,,,23.6
40,40979,1.6665,1.000,1.000,,,23.9
41,41874,1.6661,1.000,1.000,,,20.7
42,42932,1.6615,1.000,1.000,,,22.4
43,43915,1.6638,1.000,1.000,,,22.0
44,44950,1.6633,1.000,1.000,,,22.6
45,45930,1.6649,1.000,0.983,,,22.9
46,46947,1.6723,1.000,1.000,,,23.1
47,47995,1.6622,1.000,1.000,,,23.5
48,48991,1.6611,1.000,1.000,,,22.6
49,50000,1.6616,1.000,1.000,,,23.2
50,50000,1.6510,1.000,1.000,7,0,30.1
51,50000,1.6438,1.000,1.000,,,22.1
52,50000,1.6391,1.000,0.967,,,22.9
53,50000,1.6441,1.000,1.000,,,22.7
54,50000,1.6365,1.000,1.000,,,22.0
55,50000,1.6356,1.000,1.000,,,23.7
56,50000,1.6308,1.000,1.000,,,22.4
57,50000,1.6389,1.000,1.000,,,22.4
58,50000,1.6309,1.000,1.000,,,21.9
59,50000,1.6292,0.983,1.000,,,22.7
60,50000,1.6199,1.000,0.967,,,23.6
61,50000,1.6206,1.000,1.000,,,23.1
62,50000,1.6182,1.000,0.967,,,22.8
63,50000,1.6196,1.000,1.000,,,23.0
64,50000,1.6181,1.000,0.967,,,24.0
65,50000,1.6114,1.000,1.000,,,23.7
66,50000,1.6141,1.000,1.000,,,23.3
67,50000,1.6143,1.000,0.950,,,23.1
68,50000,1.6052,1.000,1.000,,,22.5
69,50000,1.5990,1.000,1.000,,,23.5
70,50000,1.6018,1.000,1.000,,,23.6
71,50000,1.5971,1.000,1.000,,,23.7
72,50000,1.5932,1.000,1.000,,,24.6
73,50000,1.5922,1.000,1.000,,,22.8
74,50000,1.5888,1.000,1.000,,,22.7
75,50000,1.5831,1.000,0.933,14,0,29.3
76,50000,1.5829,1.000,1.000,,,21.9
77,50000,1.5824,1.000,0.967,,,21.4
78,50000,1.5838,1.000,1.000,,,21.1
79,50000,1.5880,1.000,0.983,,,22.6
80,50000,1.5780,1.000,1.000,,,24.0
81,50000,1.5834,1.000,1.000,,,24.1
82,50000,1.5826,1.000,1.000,,,23.5
83,50000,1.5831,1.000,1.000,,,23.3
84,50000,1.5759,1.000,1.000,,,23.8
85,50000,1.5707,1.000,0.967,,,24.8
86,50000,1.5675,1.000,1.000,,,24.5
87,50000,1.5727,1.000,1.000,,,23.9
88,50000,1.5692,1.000,1.000,,,25.8
89,50000,1.5620,0.967,0.967,,,26.0
90,50000,1.5700,1.000,1.000,,,24.7
91,50000,1.5718,1.000,1.000,,,24.5
92,50000,1.5702,1.000,1.000,,,23.6
93,50000,1.5627,1.000,0.967,,,24.4
94,50000,1.5621,1.000,1.000,,,23.9
95,50000,1.5561,1.000,1.000,,,24.5
96,50000,1.5538,1.000,1.000,,,24.4
97,50000,1.5530,0.967,0.967,,,25.5
98,50000,1.5577,1.000,1.000,,,23.3
99,50000,1.5567,1.000,1.000,,,24.2
100,50000,1.5579,1.000,1.000,20,0,29.9
101,50000,1.5554,1.000,1.000,,,23.7
102,50000,1.5520,1.000,1.000,,,24.1
103,50000,1.5516,1.000,1.000,,,23.7
104,50000,1.5518,1.000,1.000,,,23.7
105,50000,1.5488,1.000,1.000,,,23.3
106,50000,1.5416,1.000,1.000,,,24.0
107,50000,1.5425,1.000,1.000,,,22.4
108,50000,1.5437,1.000,1.000,,,23.0
109,50000,1.5385,1.000,1.000,,,21.6
110,50000,1.5415,1.000,1.000,,,23.0
111,50000,1.5374,1.000,1.000,,,22.4
112,50000,1.5339,1.000,1.000,,,22.5
113,50000,1.5389,1.000,1.000,,,22.4
114,50000,1.5334,1.000,1.000,,,23.4
115,50000,1.5305,1.000,1.000,,,23.5
116,50000,1.5292,1.000,1.000,,,23.2
117,50000,1.5332,1.000,1.000,,,22.4
118,50000,1.5289,1.000,1.000,,,24.0
119,50000,1.5274,1.000,1.000,,,22.9
120,50000,1.5234,1.000,1.000,,,24.1
121,50000,1.5228,1.000,1.000,,,23.8
122,50000,1.5222,1.000,1.000,,,25.2
123,50000,1.5248,1.000,1.000,,,24.8
124,50000,1.5338,1.000,0.983,,,25.2
125,50000,1.5201,1.000,1.000,20,0,34.9
126,50000,1.5157,1.000,1.000,,,25.2
127,50000,1.5171,1.000,1.000,,,26.3
128,50000,1.5121,1.000,0.983,,,24.1
129,50000,1.5132,1.000,1.000,,,26.3
130,50000,1.5085,1.000,1.000,,,24.7
131,50000,1.5125,1.000,1.000,,,25.1
132,50000,1.5078,1.000,0.967,,,25.8
133,50000,1.5041,1.000,1.000,,,25.9
134,50000,1.5128,1.000,1.000,,,26.5
135,50000,1.5125,1.000,1.000,,,24.5
136,50000,1.5159,1.000,1.000,,,25.5
137,50000,1.5112,1.000,1.000,,,25.3
138,50000,1.5164,1.000,1.000,,,29.2
139,50000,1.5170,1.000,1.000,,,24.1
140,50000,1.5150,1.000,1.000,,,24.4
141,50000,1.5092,1.000,1.000,,,24.5
142,50000,1.5027,1.000,0.983,,,22.8
143,50000,1.4999,1.000,1.000,,,23.5
144,50000,1.5015,1.000,1.000,,,23.2
145,50000,1.5033,1.000,0.983,,,23.8
146,50000,1.4996,1.000,1.000,,,24.5
